iso3,year,value
GAB,2012,86.8838635787001
GAB,2011,86.5665383650315
GAB,2010,86.1852592472945
GAB,2009,85.7432582123932
GAB,2008,85.2437672472316
GAB,2007,84.6900183387136
GAB,2006,84.0852434737431
GAB,2005,83.4326746392243
GAB,2004,82.7355438220611
GAB,2003,81.9970830091574
GAB,2002,81.2205241874174
GAB,2001,80.4090993437448
GAB,2000,79.5660404650438
GMB,2020,62.2069251698555
GMB,2019,61.643210849607
GMB,2018,61.0645869348107
GMB,2017,60.471712657237
GMB,2016,59.8652472486563
GMB,2015,59.2458499408388
GMB,2014,58.6141799655551
GMB,2013,57.970305611505
GMB,2012,57.3207304207091
GMB,2011,56.6696692994225
GMB,2010,56.0110896605662
GMB,2009,55.3379286345209
GMB,2008,54.6431233516671
GMB,2007,53.9196109423854
GMB,2006,53.1603285370566
GMB,2005,52.3582132660613
GMB,2004,51.5062022597801
GMB,2003,50.6010077995371
GMB,2002,49.5731153377033
GMB,2001,48.3491979765917
GMB,2000,46.9722332873784
GEO,2020,58.9990552763878
GEO,2019,58.6304091780343
GEO,2018,58.3038181862576
GEO,2017,57.9996827205757
GEO,2016,57.6984032005062
GEO,2015,57.3803800455672
GEO,2014,57.0237612994258
GEO,2013,56.6182119019407
GEO,2012,56.1683526759979
GEO,2011,55.6899257648533
GEO,2010,55.1969344748228
GEO,2009,54.7033821122222
GEO,2008,54.2232719833673
GEO,2007,53.7706073945741
GEO,2006,53.3593916521584
GEO,2005,53.0036280624359
GEO,2004,52.7173199317225
GEO,2003,52.5144705663341
GEO,2002,52.4127676027039
GEO,2001,52.4098165040349
GEO,2000,52.4935999592259
DEU,2020,81.4700055002738
DEU,2019,81.3053991689039
DEU,2018,81.1423036204018
DEU,2017,80.9842544038853
DEU,2016,80.8347870684725
DEU,2015,80.6974371632814
DEU,2014,80.57574023743
DEU,2013,80.4732318400362
DEU,2012,80.393447520218
DEU,2011,80.3405762928198
DEU,2010,80.305702559949
DEU,2009,80.2745192417062
DEU,2008,80.2459549084581
DEU,2007,80.2198636634402
DEU,2006,80.1960996098884
DEU,2005,80.1745168510383
DEU,2004,80.1549694901257
DEU,2003,80.1373116303862
DEU,2002,80.1213973750556
DEU,2001,80.1070808273695
DEU,2000,80.0942160905637
GHA,2020,56.2171613974837
GHA,2019,55.7246279109161
GHA,2018,55.218477566593
GHA,2017,54.6991419779128
GHA,2016,54.167052758274
GHA,2015,53.6226415210752
GHA,2014,53.0663398797148
GHA,2013,52.4985794475913
GHA,2012,51.9197918381031
GHA,2011,51.3304086646488
GHA,2010,50.7296926788704
GHA,2009,50.1111250897099
GHA,2008,49.4708679942306
GHA,2007,48.8125122665918
GHA,2006,48.1388926229785
GHA,2005,47.4528437795757
GHA,2004,46.7572004525685
GHA,2003,46.0547973581418
GHA,2002,45.3484692124806
GHA,2001,44.6410507317701
GHA,2000,43.9373786640616
GRC,2020,78.3066842455552
GRC,2019,78.1888100466875
GRC,2018,78.0490656849874
GRC,2017,77.8895342613411
GRC,2016,77.7122988766348
GRC,2015,77.5194426317545
GRC,2014,77.3130486275866
GRC,2013,77.0951999650171
GRC,2012,76.8679797449322
GRC,2011,76.6352609929407
GRC,2010,76.3631476983077
GRC,2009,76.0174962722535
GRC,2008,75.615079456679
GRC,2007,75.1753473512439
GRC,2006,74.717750055608
GRC,2005,74.2617376694311
GRC,2004,73.8267602923728
GRC,2003,73.432268024093
GRC,2002,73.0977109642516
GRC,2001,72.8460703788502
GRC,2000,72.665642910984
GRD,2020,36.2050502515788
GRD,2019,36.1346465679904
GRD,2018,36.0720421424532
GRD,2017,36.0173296416579
GRD,2016,35.9706014181883
GRD,2015,35.9319491111708
GRD,2014,35.9014624346562
GRD,2013,35.8792242623778
GRD,2012,35.8652755773132
GRD,2011,35.8601091092326
GRD,2010,35.8743359481443
GRD,2009,35.8877990260417
GRD,2008,35.8983157156326
GRD,2007,35.9062498793276
GRD,2006,35.9119653795374
GRD,2005,35.9158260786725
GRD,2004,35.9181958391436
GRD,2003,35.9194385233611
GRD,2002,35.9199179937357
GRD,2001,35.9199973947796
GRD,2000,35.8702371019579
GTM,2020,54.5483167911628
GTM,2019,54.1882267267974
GTM,2018,53.845962303542
GTM,2017,53.7994723140017
GTM,2016,53.6609232857043
GTM,2015,53.4411050262961
GTM,2014,53.1458479013964
GTM,2013,52.7809822766245
GTM,2012,52.3523385176
GTM,2011,51.8657469899423
GTM,2010,51.3270380592706
GTM,2009,50.7420420912045
GTM,2008,50.1165894513633
GTM,2007,49.4565105053665
GTM,2006,48.7676356188334
GTM,2005,48.0557951573834
GTM,2004,47.326819486636
GTM,2003,46.5865389722105
GTM,2002,45.7754731938848
GTM,2001,44.678095600504
GTM,2000,43.2434755105047
GIN,2020,36.4802208060551
GIN,2019,36.1281547546387
GIN,2018,35.8554382324219
GIN,2017,35.5827331542969
GIN,2016,35.3100280761719
GIN,2015,35.0373191833496
GIN,2014,34.8177920826682
GIN,2013,34.5812741977122
GIN,2012,34.3313936933767
GIN,2011,34.0732054685603
GIN,2010,33.8075426880206
GIN,2009,33.5352385165154
GIN,2008,33.2571261188022
GIN,2007,32.9740386596386
GIN,2006,32.6868093037822
GIN,2005,32.3962712159907
GIN,2004,32.1032575610216
GIN,2003,31.8086015036327
GIN,2002,31.5131362085814
GIN,2001,31.2176948406254
GIN,2000,30.9231105645224
GNB,2020,44.3038330078125
GNB,2019,43.8745574951172
GNB,2018,43.4449081420898
GNB,2017,43.0155792236328
GNB,2016,42.586109161377
GNB,2015,42.1568145751953
